time,pr_mean,pr_stdev,pr_min,pr_max
1952-01-14 18:00:00,2.3588235,1.3868326,0.1,5.4
1952-01-15 18:00:00,4.920588,1.377931,2.6,6.9
1952-01-16 18:00:00,3.5191176,1.125148,1.2,6.2
1952-01-17 18:00:00,5.327941,1.242962,2.6,7.3
1952-01-18 18:00:00,6.7661767,1.6306449,3.5,10.9
1952-01-19 18:00:00,3.8647058,2.7006953,0.4,9.6
1952-01-20 18:00:00,13.491177,4.990719,6.2,25.4
1952-01-21 18:00:00,2.35,2.1012251,0.0,7.8
1952-01-22 18:00:00,0.023529412,0.051784758,0.0,0.2
1952-01-23 18:00:00,0.0,0.0,0.0,0.0
1952-01-24 18:00:00,0.0,0.0,0.0,0.0
1952-01-25 18:00:00,0.0,0.0,0.0,0.0
1952-01-26 18:00:00,0.11764706,0.21824244,0.0,0.9
1952-01-27 18:00:00,6.1338234,1.5736442,2.5,9.0
1952-01-28 18:00:00,3.9397058,0.7125224,2.1,5.0
1952-01-29 18:00:00,0.6,0.28697202,0.0,0.9
1952-01-30 18:00:00,0.38382354,0.15587541,0.0,0.8
1952-01-31 18:00:00,12.95,5.5717907,4.3,29.2
1952-02-01 18:00:00,7.9514704,0.7762073,6.2,10.2
1952-02-02 18:00:00,3.2661765,0.8969901,2.0,5.9
1952-02-03 18:00:00,1.1897058,0.50268096,0.1,1.8
1952-02-04 18:00:00,3.4558823,2.3196971,1.3,9.8
1952-02-05 18:00:00,0.52794117,0.8087473,0.0,3.6
1952-02-06 18:00:00,4.25,0.425821,3.4,5.5
1952-02-07 18:00:00,5.7235293,2.1540058,1.4,12.6
1952-02-08 18:00:00,9.29853,2.2207904,3.4,12.1
1952-02-09 18:00:00,13.085294,3.4660227,5.6,25.4
1952-02-10 18:00:00,30.435293,8.024205,13.9,53.6
1952-02-11 18:00:00,4.010294,1.5216225,1.5,11.2
1952-02-12 18:00:00,0.37058824,0.24855986,0.0,0.9
1952-02-13 18:00:00,0.0,0.0,0.0,0.0
1952-02-14 18:00:00,0.0,0.0,0.0,0.0
1952-02-15 18:00:00,0.0,0.0,0.0,0.0
1952-02-16 18:00:00,0.0,0.0,0.0,0.0
1952-02-17 18:00:00,0.032352943,0.06049107,0.0,0.2
1952-02-18 18:00:00,1.1602942,0.88219976,0.0,3.3
1952-02-19 18:00:00,6.472059,0.5653853,4.6,7.5
1952-02-20 18:00:00,2.0,0.571376,0.9,3.3
1952-02-21 18:00:00,2.4720588,0.38951162,1.1,3.9
1952-02-22 18:00:00,0.20441176,0.25171986,0.0,0.9
